id,name,matchType,status,venue,match_date,dateTimeGMT,teams,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded,match_number
b39bbd39-c67f-4892-9a48-02e958946718,"Chennai Super Kings vs Kolkata Knight Riders, 25th Match",t20,Kolkata Knight Riders won by 8 wkts,"MA Chidambaram Stadium, Chennai",4/11/2025,2025-04-11T14:00:00,"['Chennai Super Kings', 'Kolkata Knight Riders']",TRUE,TRUE,TRUE,TRUE,TRUE,25th Match
35938151-73ee-4969-8153-db8aabee3b90,"Lucknow Super Giants vs Gujarat Titans, 26th Match",t20,Lucknow Super Giants won by 6 wkts,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4/12/2025,2025-04-12T10:00:00,"['Lucknow Super Giants', 'Gujarat Titans']",TRUE,TRUE,TRUE,TRUE,TRUE,26th Match
b13f129b-2596-429d-ad49-a1b0d102809b,"Sunrisers Hyderabad vs Punjab Kings, 27th Match",t20,Sunrisers Hyderabad won by 8 wkts,"Rajiv Gandhi International Stadium, Hyderabad",4/12/2025,2025-04-12T14:00:00,"['Sunrisers Hyderabad', 'Punjab Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,27th Match
953420f4-982c-4dcb-b8f7-bbda5acd438d,"Rajasthan Royals vs Royal Challengers Bengaluru, 28th Match",t20,Royal Challengers Bengaluru won by 9 wkts,"Sawai Mansingh Stadium, Jaipur",4/13/2025,2025-04-13T10:00:00,"['Rajasthan Royals', 'Royal Challengers Bengaluru']",TRUE,TRUE,TRUE,TRUE,TRUE,28th Match
99c52578-1257-4834-9848-88cfec556836,"Delhi Capitals vs Mumbai Indians, 29th Match",t20,Mumbai Indians won by 12 runs,"Arun Jaitley Stadium, Delhi",4/13/2025,2025-04-13T14:00:00,"['Delhi Capitals', 'Mumbai Indians']",TRUE,TRUE,TRUE,TRUE,TRUE,29th Match
263c1103-33c0-4c05-864f-5dbcd29ead9b,"Lucknow Super Giants vs Chennai Super Kings, 30th Match",t20,Chennai Super Kings won by 5 wkts,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4/14/2025,2025-04-14T14:00:00,"['Lucknow Super Giants', 'Chennai Super Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,30th Match
23f60d1b-2641-4a84-bb73-54d3aadfb294,"Punjab Kings vs Kolkata Knight Riders, 31st Match",t20,Punjab Kings won by 16 runs,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",4/15/2025,2025-04-15T14:00:00,"['Punjab Kings', 'Kolkata Knight Riders']",TRUE,TRUE,TRUE,TRUE,TRUE,31st Match
3659022a-de1d-48fe-b68a-c62197297408,"Delhi Capitals vs Rajasthan Royals, 32nd Match",t20,Match tied (Delhi Capitals won the Super Over),"Arun Jaitley Stadium, Delhi",4/16/2025,2025-04-16T14:00:00,"['Delhi Capitals', 'Rajasthan Royals']",TRUE,TRUE,TRUE,TRUE,TRUE,32nd Match
71756de6-bdef-4b23-801f-c6bec9604e07,"Mumbai Indians vs Sunrisers Hyderabad, 33rd Match",t20,Mumbai Indians won by 4 wkts,"Wankhede Stadium, Mumbai",4/17/2025,2025-04-17T14:00:00,"['Mumbai Indians', 'Sunrisers Hyderabad']",TRUE,TRUE,TRUE,TRUE,TRUE,33rd Match
ebce77ae-63e1-46eb-8ff4-360ba8dc9bf2,"Royal Challengers Bengaluru vs Punjab Kings, 34th Match",t20,Punjab Kings won by 5 wkts - 14 overs game - due to rain,"M.Chinnaswamy Stadium, Bengaluru",4/18/2025,2025-04-18T14:00:00,"['Royal Challengers Bengaluru', 'Punjab Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,34th Match
